구분,세대수,인구수(남),인구수(여),19세이상인구수(남),19세이상인구수(여),65세이상인구수(남),65세이상인구수(여),데이터기준일자
대덕구,75895,89419,86312,75733,73441,11578,15028,2020-03-31
오정동,7471,8018,7107,7143,6365,1310,1526,2020-03-31
대화동,3570,3961,3527,3524,3157,670,847,2020-03-31
회덕동,6149,7057,6815,6156,5943,1248,1552,2020-03-31
비래동,6940,8457,8506,7116,7236,1153,1473,2020-03-31
송촌동,10313,14147,14444,11207,11583,1108,1471,2020-03-31
중리동,9877,10428,9615,9082,8391,1355,1651,2020-03-31
법1동,4571,4696,5234,4067,4613,759,1321,2020-03-31
법2동,6883,8275,8766,6953,7514,1100,1521,2020-03-31
신탄진동,5223,5808,5527,5082,4840,952,1259,2020-03-31
석봉동,5535,7381,7036,5860,5595,688,822,2020-03-31
덕암동,6227,7436,6609,6361,5633,941,1206,2020-03-31
목상동,3136,3755,3126,3182,2571,294,379,2020-03-31
